scheme_code,scheme_name,amc,category,total_aum_cr,reference_plan,reference_plan_name,nav,launch_date
129312,ICICI Prudential Dividend Yield Equity Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Dividend Yield Fund,6359.38,direct,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,58.83,2014-04-25
120749,UTI - Dividend Yield Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Dividend Yield Fund,3825.33,direct,UTI-Dividend Yield Fund.-Growth-Direct,186.9916,2005-04-11
118527,Franklin India Dividend Yield Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Dividend Yield Fund,2354.64,direct,Franklin India Dividend Yield Fund - Direct - Growth,148.8035,2006-03-22
148947,Tata Dividend Yield Fund,Tata Asset Management Limited,Equity Scheme - Dividend Yield Fund,997.62,direct,Tata Dividend Yield Fund-Direct Plan-Growth,20.7993,2021-05-03
149700,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund),Sundaram Asset Management Company Ltd,Equity Scheme - Dividend Yield Fund,884.0,direct,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund) - Direct Plan - Growth Option,142.5142,2004-09-06
152810,Baroda BNP Paribas Dividend Yield Fund,Baroda BNP Paribas Asset Management India Private Limited,Equity Scheme - Dividend Yield Fund,696.57,direct,Baroda BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option,9.5457,2024-08-22
152022,LIC MF Dividend Yield Fund,LIC Mutual Fund Asset Management Limited,Equity Scheme - Dividend Yield Fund,649.66,direct,LIC MF Dividend Yield Fund-Direct Plan-Growth,34.4555,2018-12-03
154097,Kotak Dividend Yield Fund,Kotak Mahindra Asset Management Company Limited.,Equity Scheme - Dividend Yield Fund,152.86,direct,Kotak Dividend Yield Fund - Direct - Growth,9.487,2026-01-05
119723,SBI ELSS Tax Saver Fund,SBI Funds Management Limited,Equity Scheme - ELSS,31433.94,direct,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,462.203,1993-02-24
119060,HDFC ELSS Tax saver,HDFC Asset Management Company Limited,Equity Scheme - ELSS,16426.36,direct,HDFC ELSS Tax saver - Growth Option - Direct Plan,1446.198,1996-03-31
118803,Nippon India ELSS Tax Saver Fund,Nippon Life India Asset Management Limited,Equity Scheme - ELSS,14749.77,direct,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,141.3883,2005-07-25
120592,ICICI Prudential ELSS Tax Saver Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - ELSS,14146.55,direct,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,1004.66,2012-12-11
118285,Canara Robeco ELSS Tax Saver,Canara Robeco Asset Management Company Limited,Equity Scheme - ELSS,8653.81,direct,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,194.83,1993-02-25
