,GSEC,NIFTY50,AUTO,BANK,FINSERV,FMCG,IT,OILGAS,PHARMA,REITS,GOLD
GSEC,1.0,-0.0015170980472564587,-0.13032232340711156,-0.15470338409042828,-0.09405395146036073,0.14705670312123356,0.15982491231141865,0.03048392979713182,0.21956113820269035,-0.08576285822575534,0.15745258342964602
NIFTY50,-0.0015170980472564587,1.0,0.7919800434416868,0.8704866076028069,0.9090785764572148,0.6605836742624128,0.6308666894060255,0.83686021241039,0.5646512863530296,0.5844199065118696,0.008613294687566787
AUTO,-0.13032232340711156,0.7919800434416868,1.0,0.6837328970766393,0.6791032697411319,0.5332706744334418,0.4132781087171927,0.7243437415968373,0.4844058696619136,0.5922739959716018,0.004986934829650968
BANK,-0.15470338409042828,0.8704866076028069,0.6837328970766393,1.0,0.9787789733557315,0.44970662742220624,0.2964960501588884,0.6750735646110213,0.26592051810038436,0.5439264790936071,-0.040170181576172755
FINSERV,-0.09405395146036073,0.9090785764572148,0.6791032697411319,0.9787789733557315,1.0,0.5098217720310414,0.3790409374219937,0.6836429789463762,0.33238005783907765,0.5387778645451569,-0.004517706142989552
FMCG,0.14705670312123356,0.6605836742624128,0.5332706744334418,0.44970662742220624,0.5098217720310414,1.0,0.44425905463941245,0.5506603869142506,0.4172493818630306,0.24129334612439204,-0.10351125114420544
IT,0.15982491231141865,0.6308666894060255,0.4132781087171927,0.2964960501588884,0.3790409374219937,0.44425905463941245,1.0,0.43741024424446834,0.5357784775107834,0.32248213088016875,-0.0647725382101333
OILGAS,0.03048392979713182,0.83686021241039,0.7243437415968373,0.6750735646110213,0.6836429789463762,0.5506603869142506,0.43741024424446834,1.0,0.5788439286613117,0.4850795293826025,0.018362736345556963
PHARMA,0.21956113820269035,0.5646512863530296,0.4844058696619136,0.26592051810038436,0.33238005783907765,0.4172493818630306,0.5357784775107834,0.5788439286613117,1.0,0.34820542302429935,0.16635106281537915
REITS,-0.08576285822575534,0.5844199065118696,0.5922739959716018,0.5439264790936071,0.5387778645451569,0.24129334612439204,0.32248213088016875,0.4850795293826025,0.34820542302429935,1.0,0.211840938148486
GOLD,0.15745258342964602,0.008613294687566787,0.004986934829650968,-0.040170181576172755,-0.004517706142989552,-0.10351125114420544,-0.0647725382101333,0.018362736345556963,0.16635106281537915,0.211840938148486,1.0
