,GSEC,NIFTY50,AUTO,BANK,FINSERV,FMCG,IT,OILGAS,PHARMA,REITS,GOLD
GSEC,8.773882392909431e-05,-7.151379101128814e-07,-8.809589660197013e-05,-0.00010386219647510196,-5.810416334126261e-05,5.850752957199092e-05,9.862960080496128e-05,1.9839782388698497e-05,0.00011931813499735318,-3.4169824833183035e-05,5.7583833520842544e-05
NIFTY50,-7.151379101128814e-07,0.0025325643814911405,0.0028763083835088824,0.003139815476151296,0.003017282486913516,0.0014120143642343418,0.0020916294119690156,0.002926194668799927,0.0016486013372826772,0.001250987152252847,1.6924055150508295e-05
AUTO,-8.809589660197013e-05,0.0028763083835088824,0.0052081312837397664,0.0035366267067703933,0.0032322957010328408,0.0016346308629042322,0.0019649443683901944,0.003632082635685963,0.002028175056178729,0.001818072628654772,1.405172147771333e-05
BANK,-0.00010386219647510196,0.003139815476151296,0.0035366267067703933,0.005137165640520291,0.004626799895826256,0.0013690588079581436,0.0014000630465312036,0.0033618856188818184,0.001105779951082851,0.0016582484029173691,-0.00011241401462295081
FINSERV,-5.810416334126261e-05,0.003017282486913516,0.0032322957010328408,0.004626799895826256,0.004349793130214236,0.0014281825119766183,0.0016469761688643516,0.003132807476674462,0.0012718161608631286,0.001511442562509957,-1.1633413329678757e-05
FMCG,5.850752957199092e-05,0.0014120143642343418,0.0016346308629042322,0.0013690588079581436,0.0014281825119766183,0.001804106047779992,0.0012431805747470212,0.00162511804972572,0.0010282099726527673,0.00043593724870468663,-0.00017166172316220897
IT,9.862960080496128e-05,0.0020916294119690156,0.0019649443683901944,0.0014000630465312036,0.0016469761688643516,0.0012431805747470212,0.004340440351727577,0.0020022849978279015,0.002047892891940851,0.0009036914071448098,-0.00016661446027489092
OILGAS,1.9839782388698497e-05,0.002926194668799927,0.003632082635685963,0.0033618856188818184,0.003132807476674462,0.00162511804972572,0.0020022849978279015,0.00482769799580882,0.0023333861097048036,0.0014336085961892354,4.9815251164906097e-05
PHARMA,0.00011931813499735318,0.0016486013372826772,0.002028175056178729,0.001105779951082851,0.0012718161608631286,0.0010282099726527673,0.002047892891940851,0.0023333861097048036,0.0033659693519316383,0.0008592869397063445,0.00037682138123658636
REITS,-3.4169824833183035e-05,0.001250987152252847,0.001818072628654772,0.0016582484029173691,0.001511442562509957,0.00043593724870468663,0.0009036914071448098,0.0014336085961892354,0.0008592869397063445,0.0018092359281738594,0.00035181339543531847
GOLD,5.7583833520842544e-05,1.6924055150508295e-05,1.405172147771333e-05,-0.00011241401462295081,-1.1633413329678757e-05,-0.00017166172316220897,-0.00016661446027489092,4.9815251164906097e-05,0.00037682138123658636,0.00035181339543531847,0.001524437969001575
