,monthly_mean,annual_return,monthly_vol,annual_vol
GSEC,0.005316693944782525,0.06569942713480525,0.01190532349635771,0.041241250352470206
NIFTY50,0.010807984822910026,0.13769006967841935,0.046601000490189004,0.16143060106509902
AUTO,0.012901470080606162,0.16628963874985137,0.0678895382290381,0.23517625903016717
BANK,0.012061232534286379,0.15473271995497795,0.06598421003915017,0.22857600857020893
FINSERV,0.013025425175723885,0.1680035059846483,0.060998952665950186,0.21130657045182946
FMCG,0.009549137145820143,0.12080366706571,0.042139406734862155,0.14597518693118275
IT,0.01105946675778971,0.1410913129887863,0.05985799019531999,0.20735416051450783
OILGAS,0.014080446123315486,0.18268449386185615,0.06469922040329981,0.22412467389722443
PHARMA,0.006326041875196791,0.07861023985502436,0.05826892118807545,0.2018494639999467
REITS,0.00415345835328238,0.050995992298492165,0.04282545950698557,0.1483517434471652
GOLD,0.01190957385115921,0.15265797220225052,0.03708352047613711,0.12846108317638055
